"name","oracle_id","mana_cost","type_line","color_identity","layout","status","reason","semantic_class"
"Splinter, Aging Champion","45a87131-ae8a-4e6d-9ac0-e52b4795691b","{2}{W}","Legendary Creature — Mutant Ninja Rat","W","normal","deferred","oracle-needs-explicit-semantics",""
"Splinter, Radical Rat","fb2cd508-f5cd-4d5b-b8e7-3cae1f39fd58","{1}{W/B}{W/B}","Legendary Creature — Mutant Ninja Rat","BUW","normal","deferred","oracle-needs-explicit-semantics",""
"Splintering Wind","184f68a1-0c13-42f4-aee6-3ca744f6a30b","{2}{G}{G}","Enchantment","G","normal","deferred","noncreature-needs-explicit-semantics",""
"Split Decision","5f725d51-e133-488c-9ca9-1c7b0523b5bd","{1}{U}","Instant","U","normal","deferred","spell-needs-explicit-semantics",""
"Split the Party","9ad61841-9894-41da-bdd8-248c2ce21b00","{3}{U}{U}","Sorcery","U","normal","deferred","spell-needs-explicit-semantics",""
"Split the Spoils","48ad5bd6-9568-4813-be29-99aef8b9327a","{2}{G}","Sorcery","G","normal","deferred","spell-needs-explicit-semantics",""
"Splitting the Powerstone","178828a5-c202-4503-9755-fc6bb2390209","{2}{U}","Sorcery","U","normal","deferred","spell-needs-explicit-semantics",""
"Spoils of Evil","a40c52ee-4b45-4b14-8fbc-6529b42bfc9d","{2}{B}","Instant","B","normal","deferred","spell-needs-explicit-semantics",""
"Spoils of War","f3240a86-28b6-4338-9a59-1fb6f795d713","{X}{B}","Sorcery","B","normal","deferred","spell-needs-explicit-semantics",""
"Spoils of the Hunt","c29713ee-57e9-40b4-8ca3-a4cc6ede0f46","{2}{G}","Instant","G","normal","deferred","spell-needs-explicit-semantics",""
"Spoils of the Vault","ef86f861-1fdf-4be0-9497-8adc064af3de","{B}","Instant","B","normal","deferred","spell-needs-explicit-semantics",""
"Spooky Clown Mox","785e6563-51c4-4063-9ad9-0392954e135e","","Stickers","","normal","deferred","noncreature-needs-explicit-semantics",""
"Sporecrown Thallid","d0c2ca8a-c5d4-4684-bacb-46c04f47c276","{1}{G}","Creature — Fungus","G","normal","deferred","oracle-needs-explicit-semantics",""
"Sporeweb Weaver","2e7c3881-6fa6-4fd2-ae86-9e3a0fcecdbd","{2}{G}","Creature — Spider","G","normal","deferred","oracle-needs-explicit-semantics",""
"Sporogenic Infection","659a259d-f75e-4af3-b568-c63225e647de","{1}{B}","Enchantment — Aura","B","normal","deferred","noncreature-needs-explicit-semantics",""
"Spotter Thopter","ccf13531-60bd-4ebd-9a5b-68e2d05ce620","{8}","Artifact Creature — Thopter","U","prototype","deferred","complex-layout",""
"Spreading Algae","a08189f2-1643-496a-8a91-74864528b4db","{G}","Enchantment — Aura","G","normal","deferred","noncreature-needs-explicit-semantics",""
"Spreading Plague","6c134ef7-5c2f-4e4c-ae40-ef338fbf41e6","{4}{B}","Enchantment","B","normal","deferred","noncreature-needs-explicit-semantics",""
"Spring-Loaded Sawblades // Bladewheel Chariot","fa1ed9fa-5f77-4f7d-bab0-47c719cdc5bc","","Artifact // Artifact — Vehicle","W","transform","deferred","double-faced-card-needs-complete-front-semantics",""
"Springheart Nantuko","8a3ad2ef-8bcb-40c0-85de-f03328c2b644","{1}{G}","Enchantment Creature — Insect Monk","G","normal","deferred","oracle-needs-explicit-semantics",""
"Springjack Pasture","9eaadbbc-818b-4c21-9d4b-1bba48504d38","","Land","","normal","deferred","land-needs-explicit-semantics",""
"Spry and Mighty","04cc9177-1ffc-4ac8-a64d-7995b4f33d23","{4}{G}","Sorcery","G","normal","deferred","spell-needs-explicit-semantics",""
"Spurnmage Advocate","0477b923-9f32-4e7f-ac08-c715cca819a4","{W}","Creature — Human Nomad","W","normal","deferred","oracle-needs-explicit-semantics",""
"Spy Kit","4d94f5bd-42c6-4d15-a693-8be189ec3746","{2}","Artifact — Equipment","","normal","deferred","noncreature-needs-explicit-semantics",""
"Spy Network","81a5893a-764c-41ea-ba81-346b3c7558a4","{U}","Instant","U","normal","deferred","spell-needs-explicit-semantics",""
"Spymaster's Vault","69ddca4b-5cc0-45f3-b2e6-a047c8d601be","","Land","B","normal","deferred","land-needs-explicit-semantics",""
"Squall, Gunblade Duelist","880c2b0a-b708-4f11-a88a-ec990c904602","{R}{W}{B}","Legendary Creature — Human Mercenary","BRW","normal","deferred","oracle-needs-explicit-semantics",""
"Squandered Resources","620d0572-6d22-43e2-83a9-000e605c8a2b","{B}{G}","Enchantment","BG","normal","deferred","noncreature-needs-explicit-semantics",""
"Squeaking Pie Grubfellows","bb4107f8-817c-43b2-b64c-f3b4c64eb3f0","{3}{B}","Creature — Goblin Shaman","B","normal","deferred","oracle-needs-explicit-semantics",""
"Squee's Embrace","095f8dac-15b8-4c28-ae33-6dc71152bcc7","{R}{W}","Enchantment — Aura","RW","normal","deferred","noncreature-needs-explicit-semantics",""
"Squee, Dubious Monarch","124a5dd7-c4f8-479c-9eb0-669aca01d045","{2}{R}","Legendary Creature — Goblin Noble","R","normal","deferred","oracle-needs-explicit-semantics",""
"Squid Fire Knight","5bd19c93-4b1b-45d7-9764-1327fffe94ca","","Stickers","","normal","deferred","noncreature-needs-explicit-semantics",""
"Squirming Emergence","e468f1fe-d99c-4034-a94f-91c41a129092","{1}{B}{G}","Sorcery","BG","normal","deferred","spell-needs-explicit-semantics",""
"Squirrel Sanctuary","693d20e9-ad92-44ad-9190-d247c94660eb","{G}","Enchantment","G","normal","deferred","noncreature-needs-explicit-semantics",""
"Squirrel Squatters","7af6b952-9e53-4f5d-ba6f-d31b42e91bbe","{3}{G}{G}","Creature — Squirrel","G","normal","deferred","oracle-needs-explicit-semantics",""
"Squishy Sphinx Ninja","d198b39d-2c5f-4150-8c54-a00d33d74a28","","Stickers","","normal","deferred","noncreature-needs-explicit-semantics",""
"Stab Wound","aad212b2-57ba-4e70-869b-636842eb7a88","{2}{B}","Enchantment — Aura","B","normal","deferred","noncreature-needs-explicit-semantics",""
"Stadium Vendors","84904dd3-8987-47c2-b508-f87519157b00","{3}{R}","Creature — Goblin","R","normal","deferred","oracle-needs-explicit-semantics",""
"Staff of Eden, Vault's Key","c4fe63e7-bb4c-4aff-b74f-d385d0128def","{6}","Legendary Artifact","","normal","deferred","noncreature-needs-explicit-semantics",""
"Staff of the Ages","86af21ba-58ad-45e8-a316-5411c870e415","{3}","Artifact","","normal","deferred","noncreature-needs-explicit-semantics",""
"Stain the Mind","1994d563-8726-49c9-a18a-6ba2604a8cb7","{4}{B}","Sorcery","B","normal","deferred","spell-needs-explicit-semantics",""
"Stalactite Dagger","064c3269-c012-4fc7-84c3-5f147a82a03c","{2}","Artifact — Equipment","","normal","deferred","noncreature-needs-explicit-semantics",""
"Stalked Researcher","8ec3c334-8a53-46d8-8cfb-c647c3a1ef74","{1}{U}","Creature — Human Wizard","U","normal","deferred","oracle-needs-explicit-semantics",""
"Stalking Yeti","e79e67db-3f2e-4002-9e6c-8f06ca9d8af4","{2}{R}{R}","Snow Creature — Yeti","R","normal","deferred","oracle-needs-explicit-semantics",""
"Stall for Time","09a400bd-83f1-4fac-a218-64c9f041874f","{2}{W}","Instant","UW","normal","deferred","spell-needs-explicit-semantics",""
"Stalwart Successor","45392882-e4b9-4c74-a10f-985c2b4e2be9","{1}{B}{G}","Creature — Human Warrior","BG","normal","deferred","oracle-needs-explicit-semantics",""
"Stampede Surfer","22640b75-8db6-4264-a4aa-9174c159a228","{3}{R/G}{R/G}","Creature — Human Warrior","GR","normal","deferred","oracle-needs-explicit-semantics",""
"Stand Together","54bfd255-cce6-4c67-8a18-2bc01400f4b6","{3}{G}{G}","Instant","G","normal","deferred","spell-needs-explicit-semantics",""
"Stand or Fall","927d0085-9bd9-4454-8ac5-0e374237ed35","{3}{R}","Enchantment","R","normal","deferred","noncreature-needs-explicit-semantics",""
"Standard Bearer","1d6e9716-8c3c-443d-afd8-68d0d6c469a5","{1}{W}","Creature — Human Flagbearer","W","normal","deferred","oracle-needs-explicit-semantics",""
"Standardize","2d4e0e0f-7167-40a4-ad76-2d5b45223eaa","{U}{U}","Instant","U","normal","deferred","spell-needs-explicit-semantics",""
"Standstill","fea4cb32-0329-4199-9abe-bff0cc45882a","{1}{U}","Enchantment","U","normal","deferred","noncreature-needs-explicit-semantics",""
"Stangg","739eac91-3029-4ce7-9885-0af3ddea472e","{4}{R}{G}","Legendary Creature — Human Warrior","GR","normal","deferred","oracle-needs-explicit-semantics",""
"Stangg, Echo Warrior","aaf2a587-ced7-4615-b10f-164e7384b073","{2}{R}{G}","Legendary Creature — Human Warrior","GR","normal","deferred","oracle-needs-explicit-semantics",""
"Star Compass","b5e9599f-9561-4e3f-9904-9a4dab98cabb","{2}","Artifact","","normal","deferred","noncreature-needs-explicit-semantics",""
"Star of Extinction","48220e6c-5752-46e0-9b7f-f0eef274d929","{5}{R}{R}","Sorcery","R","normal","deferred","spell-needs-explicit-semantics",""
"Stardew Valley","6a4ee425-b3b8-487d-866c-9e2d73682466","","Land","","normal","deferred","land-needs-explicit-semantics",""
"Starfall Invocation","7024532b-f99b-43a7-b0ed-5b3e7ec7592b","{3}{W}{W}","Sorcery","W","normal","deferred","spell-needs-explicit-semantics",""
"Starfield Vocalist","4add809e-9caa-45ae-bb0d-4760a360b8e2","{3}{U}","Creature — Human Bard","U","normal","deferred","oracle-needs-explicit-semantics",""
"Starforged Sword","2cdc1d82-30dc-4f0a-af20-33dde90269b1","{4}","Artifact — Equipment","","normal","deferred","noncreature-needs-explicit-semantics",""
"Stargaze","db8b4869-f898-40ad-bbad-62390a02d1b1","{X}{B}{B}","Sorcery","B","normal","deferred","spell-needs-explicit-semantics",""
"Starlight Spectacular","5c4e9401-537c-4bf6-bd07-d2abc43612c9","{2}{W}{W}","Enchantment","W","normal","deferred","noncreature-needs-explicit-semantics",""
"Starnheim Unleashed","495ebe60-f0e5-4f0f-9d99-b2c64c95dbf4","{2}{W}{W}","Sorcery","W","normal","deferred","spell-needs-explicit-semantics",""
"Starscream, Power Hungry // Starscream, Seeker Leader","3e924a35-0e08-4050-b33a-a143d2ab5aea","","Legendary Artifact Creature — Robot // Legendary Artifact — Vehicle","B","transform","deferred","double-faced-card-needs-face-transition-semantics",""
"Start // Finish","4ae2750e-3650-42df-a539-ea4cb72fa136","{2}{W} // {2}{B}","Instant // Sorcery","BW","split","deferred","split-needs-complete-face-semantics",""
"Start Your Engines","bbe3726b-e14d-48d1-8bbf-40d48f1ef8c7","{3}{R}","Sorcery","R","normal","deferred","spell-needs-explicit-semantics",""
"Starting Column","d608a3fa-faee-44a4-9ab6-be701d3b7a49","{3}","Artifact","","normal","deferred","noncreature-needs-explicit-semantics",""
"Starting Town","d04e0975-f401-41b8-a9db-9bcf9cbbce66","","Land — Town","","normal","deferred","land-needs-explicit-semantics",""
"Startle","7996222e-68c8-4a5c-9531-c60cdd88ae05","{1}{U}","Instant","U","normal","deferred","spell-needs-explicit-semantics",""
"Startled Awake // Persistent Nightmare","99d42ae8-8cee-449b-812b-98a81a593077","","Sorcery // Creature — Nightmare","U","transform","deferred","double-faced-card-needs-complete-front-semantics",""
"Starving Revenant","2ca969eb-3d79-4d1f-8d9d-7b8204ad166a","{2}{B}{B}","Creature — Spirit Horror","B","normal","deferred","oracle-needs-explicit-semantics",""
"Stasis Cell","8b2ba6f8-1060-4167-9941-3ab7bd4e0ca8","{4}{U}","Enchantment — Aura","U","normal","deferred","noncreature-needs-explicit-semantics",""
"Static Orb","0004ebd0-dfd6-4276-b4a6-de0003e94237","{3}","Artifact","","normal","deferred","noncreature-needs-explicit-semantics",""
"Stature, Size Shifter","bd49a05c-ed51-4d69-ab9b-11192442ec17","{U}","Legendary Creature — Human Hero","U","normal","deferred","oracle-needs-explicit-semantics",""
"Stay Hidden, Stay Silent","266561cc-d014-48cc-ba5d-fa72f3a91736","{1}{U}","Enchantment — Aura","U","normal","deferred","noncreature-needs-explicit-semantics",""
"Steadfast Armasaur","dc0bd3a3-f34e-4d81-b9e8-b172b005d671","{3}{W}","Creature — Dinosaur","W","normal","deferred","oracle-needs-explicit-semantics",""
"Steal the Show","de403543-e61a-44fc-85e1-1e621d90ca8b","{2}{R}","Sorcery","R","normal","deferred","spell-needs-explicit-semantics",""
"Steam Vines","1e687c04-b573-425d-b2d1-0e0cbe02bb52","{1}{R}{R}","Enchantment — Aura","R","normal","deferred","noncreature-needs-explicit-semantics",""
"Steamcore Scholar","0fb9a928-9adb-4dc1-9761-857df7e6c643","{2}{U}","Creature — Weird Detective","U","normal","deferred","oracle-needs-explicit-semantics",""
"Steamflogger Boss","4d614c79-7934-4662-9ce1-22b57d5137f7","{3}{R}","Creature — Goblin Rigger","R","normal","deferred","oracle-needs-explicit-semantics",""
"Steel Golem","b5cd9c55-34ad-4e1f-92b2-527c9babc4d4","{3}","Artifact Creature — Golem","","normal","deferred","oracle-needs-explicit-semantics",""
"Steel Seraph","7ff8940f-d798-41eb-b82e-a1eba2163fe7","{6}","Artifact Creature — Angel","W","prototype","deferred","complex-layout",""
"Steelswarm Operator","770b2097-5178-42d2-be6c-393b4bfe3727","{1}{U}","Artifact Creature — Robot Soldier","U","normal","deferred","oracle-needs-explicit-semantics",""
"Steely Resolve","48c127f0-2857-4c36-97bc-1291b6fe4a82","{1}{G}","Enchantment","G","normal","deferred","noncreature-needs-explicit-semantics",""
"Steer Clear","2c22af49-c6ef-4de6-bb84-6b3e99879148","{W}","Instant","W","normal","deferred","spell-needs-explicit-semantics",""
"Stench of Evil","14062abe-14df-4dbe-ad7b-530e5f6c4988","{2}{B}{B}","Sorcery","B","normal","deferred","spell-needs-explicit-semantics",""
"Stenn, Paranoid Partisan","03d2d7dd-54b6-469e-8b1c-c48db8cc0925","{W}{U}","Legendary Creature — Human Wizard","UW","normal","deferred","oracle-needs-explicit-semantics",""
"Stensia Uprising","a881bf6e-6247-4adb-9f9c-e4b928692573","{2}{R}{R}","Enchantment","R","normal","deferred","noncreature-needs-explicit-semantics",""
"Stensian Sanguinist // Exsanguinate","25877c41-39a4-4cc3-ac4b-8f3dd06d579b","{1}{B} // {X}{B}{B}","Creature — Vampire Cleric // Sorcery","B","prepare","deferred","unsupported-mana-cost",""
"Step Between Worlds","48b43d53-9a8a-47a2-8610-a54d276d7be7","{3}{U}{U}","Sorcery","U","normal","deferred","spell-needs-explicit-semantics",""
"Step Right Up","aaf6b3ed-2396-46d7-a32d-7d24cc2eb449","{3}{B}","Sorcery","B","normal","deferred","spell-needs-explicit-semantics",""
"Step Through","c4fa89c7-f00d-42ef-bd67-407a288cd054","{3}{U}{U}","Sorcery","U","normal","deferred","spell-needs-explicit-semantics",""
"Stern Scolding","3bc8a406-3ae7-4f56-a33c-b4a2c115b917","{U}","Instant","U","normal","deferred","spell-needs-explicit-semantics",""
"Stick, Fearless Mentor","e7bd3882-a0f2-4706-80e7-1d3ec455801f","{1}{R}","Legendary Creature — Human Monk Hero","R","normal","deferred","oracle-needs-explicit-semantics",""
"Sticky Kavu Daredevil","3def54bf-2640-47de-84e8-7a9406df007e","","Stickers","","normal","deferred","noncreature-needs-explicit-semantics",""
"Stigma Lasher","7e4a1286-cac6-491f-a32d-64fb98d35de2","{R}{R}","Creature — Elemental Shaman","R","normal","deferred","oracle-needs-explicit-semantics",""
"Stillness in Motion","d73913ea-44d0-408f-9f8b-8e91843f2826","{1}{U}","Enchantment","U","normal","deferred","noncreature-needs-explicit-semantics",""
"Stiltstrider","9c0d7d7d-5513-4e2b-b834-1ff999ab24f5","{3}{G}{G}","Creature — Rhino Performer","G","normal","deferred","oracle-needs-explicit-semantics",""
"Stiltzkin, Moogle Merchant","958c2a27-9fb1-42b4-a0ef-296584763a98","{W}","Legendary Creature — Moogle","W","normal","deferred","oracle-needs-explicit-semantics",""
"Sting, Bilbo's Sword","9779f32c-b1a2-42a3-8e78-14c28c3ad254","{2}","Legendary Artifact — Equipment","","normal","deferred","noncreature-needs-explicit-semantics",""
"Sting, the Glinting Dagger","973c49a1-8425-40b9-8bdc-2c2434222314","{2}","Legendary Artifact — Equipment","","normal","deferred","noncreature-needs-explicit-semantics",""
"Sting-Slinger","945a4a4d-fdfd-4c39-9975-5b22d17a4e70","{2}{R}","Creature — Goblin Warrior","R","normal","deferred","oracle-needs-explicit-semantics",""
"Stinging Hivemaster","6b1f750c-0f01-4b1c-ad8f-260e26fbbfea","{2}{B}","Creature — Phyrexian Warlock","B","normal","deferred","oracle-needs-explicit-semantics",""
"Stinging Licid","c6e48eaf-02f8-43b3-90bf-970d4e412fa6","{1}{U}","Creature — Licid","U","normal","deferred","oracle-needs-explicit-semantics",""
"Stir the Pride","7e46d2c7-59ae-4b0e-a2ec-d0ac1b68d594","{4}{W}","Instant","W","normal","deferred","spell-needs-explicit-semantics",""
"Stirring Bard","2583836d-7fd3-47b3-9b69-6814efe54a90","{3}{R}","Creature — Dragon Bard","R","normal","deferred","oracle-needs-explicit-semantics",""
"Stitcher's Graft","2b73a5ec-c52e-4074-a7cb-78d6eb2adef0","{1}","Artifact — Equipment","","normal","deferred","noncreature-needs-explicit-semantics",""
"Stoic Angel","b50c865b-705f-489e-9ffc-ba8060ba262f","{1}{G}{W}{U}","Creature — Angel","GUW","normal","deferred","oracle-needs-explicit-semantics",""
"Stoic Grove-Guide","96c4b51c-8a10-428c-a948-e1ba9c652bfd","{4}{B/G}","Creature — Elf Druid","BG","normal","deferred","oracle-needs-explicit-semantics",""
"Stolen Uniform","17c0cf45-a031-40e8-a37f-eda98a8f785b","{U}","Instant","U","normal","deferred","spell-needs-explicit-semantics",""
"Stolen Vitality","bd7454f3-57bc-44f4-bd58-54e883c699fd","{1}{R}","Instant","R","normal","deferred","spell-needs-explicit-semantics",""
"Stomping Slabs","b8780f7b-3093-4509-9cb9-afa9c5f218fa","{2}{R}","Sorcery","R","normal","deferred","spell-needs-explicit-semantics",""
"Stone Giant","0b8e3f9b-a4da-49a3-8545-ce7a265e5856","{2}{R}{R}","Creature — Giant","R","normal","deferred","oracle-needs-explicit-semantics",""
"Stone Haven Outfitter","8e646a6b-77ba-4f7d-8ee9-b0b084453f77","{1}{W}","Creature — Kor Artificer Ally","W","normal","deferred","oracle-needs-explicit-semantics",""
"Stone-Giant of High Pass","cfaa8b7b-7bfc-4660-bbc7-a717e05df6ef","{5}{R}{R}","Creature — Giant","R","normal","deferred","oracle-needs-explicit-semantics",""
"Stone-Tongue Basilisk","c38efbe5-7ace-41fa-b874-72e3702a833c","{4}{G}{G}{G}","Creature — Basilisk","G","normal","deferred","oracle-needs-explicit-semantics",""
"Stonebinder's Familiar","87266dec-ac03-4f21-b235-67c14c3024db","{W}","Creature — Spirit Dog","W","normal","deferred","oracle-needs-explicit-semantics",""
"Stonehewer Giant","b3d99ea0-d61f-4394-8913-b4057c38ff3e","{3}{W}{W}","Creature — Giant Warrior","W","normal","deferred","oracle-needs-explicit-semantics",""
"Stonehorn Dignitary","65368569-68bf-4498-9979-d2935942ca49","{3}{W}","Creature — Rhino Soldier","W","normal","deferred","oracle-needs-explicit-semantics",""
"Stoneshaker Shaman","5458689c-48e0-48b6-bda8-048fa4718734","{2}{R}","Creature — Human Shaman","R","normal","deferred","oracle-needs-explicit-semantics",""
"Stonespeaker Crystal","a494fcee-6885-434c-aad5-6f83640c4472","{4}","Artifact","","normal","deferred","noncreature-needs-explicit-semantics",""
"Stonesplitter Bolt","1322734c-3c3e-4885-a6d2-d6460a16fca2","{X}{R}","Instant","R","normal","deferred","spell-needs-explicit-semantics",""
"Stonewise Fortifier","ecfa6791-938a-4159-92bf-ff2b0ce69523","{1}{W}","Creature — Human Wizard","W","normal","deferred","oracle-needs-explicit-semantics",""
"Stonework Packbeast","782c47c5-b108-415c-9b70-a033ac52956f","{2}","Artifact Creature — Beast","","normal","deferred","oracle-needs-explicit-semantics",""
"Stop Cold","e0206af2-8034-4351-a797-a1d996f080b5","{3}{U}","Enchantment — Aura","U","normal","deferred","noncreature-needs-explicit-semantics",""
